hero1,hero2,Friendship
LITTLE-ABNER,PRINCESS ZANDA,99
LITTLE-ABNER,BLACK PANTHER/T'CHAL,17
BLACK PANTHER/T'CHAL,PRINCESS ZANDA,46
STEELE-SIMON/WOLFGA,FORTUNE-DOMINIC,59
STEELE-SIMON/WOLFGA,ERWIN-CLYTEMNESTRA,25
STEELE-SIMON/WOLFGA,IRON MAN/TONY STARK ,39
STEELE-SIMON/WOLFGA,IRON MAN IV/JAMES R.,95
STEELE-SIMON/WOLFGA,RAVEN-SABBATH II/EL,71
RAVEN-SABBATH II/EL,FORTUNE-DOMINIC,13
RAVEN-SABBATH II/EL,ERWIN-CLYTEMNESTRA,41
RAVEN-SABBATH II/EL,IRON MAN/TONY STARK ,62
RAVEN-SABBATH II/EL,IRON MAN IV/JAMES R.,18
IRON MAN IV/JAMES R.,FORTUNE-DOMINIC,40
IRON MAN IV/JAMES R.,ERWIN-CLYTEMNESTRA,51
IRON MAN IV/JAMES R.,IRON MAN/TONY STARK ,91
IRON MAN/TONY STARK ,FORTUNE-DOMINIC,39
IRON MAN/TONY STARK ,ERWIN-CLYTEMNESTRA,85
ERWIN-CLYTEMNESTRA,FORTUNE-DOMINIC,25
PRINCESS ZANDA,BLACK PANTHER/T'CHAL,80
PRINCESS ZANDA,LITTLE-ABNER,100
BLACK PANTHER/T'CHAL,LITTLE-ABNER,54
BLACK PANTHER/T'CHAL,CARNIVORE/COUNT ANDR,97
LITTLE-ABNER,CARNIVORE/COUNT ANDR,50
CARNIVORE/COUNT ANDR,PRINCESS ZANDA,10
CARNIVORE/COUNT ANDR,LITTLE-ABNER,9
PRINCESS ZANDA,CARNIVORE/COUNT ANDR,89
GHOST,IRON MAN/TONY STARK ,30
GHOST,ZIMMER-ABE,8
GHOST,IRON MAN IV/JAMES R.,14
IRON MAN IV/JAMES R.,ZIMMER-ABE,71
ZIMMER-ABE,IRON MAN/TONY STARK ,13
FU MANCHU,TARR-BLACK JACK,83
FU MANCHU,SMITH-SIR DENIS NAY,59
FU MANCHU,SHANG-CHI,95
SHANG-CHI,TARR-BLACK JACK,7
SHANG-CHI,SMITH-SIR DENIS NAY,19
SMITH-SIR DENIS NAY,TARR-BLACK JACK,18
STARSHINE II/BRANDY ,ROM-SPACEKNIGHT,44
SHANG-CHI,FU MANCHU,10
SHANG-CHI,MAN-THING/THEODORE T,42
SMITH-SIR DENIS NAY,FU MANCHU,91
SMITH-SIR DENIS NAY,MAN-THING/THEODORE T,26
MAN-THING/THEODORE T,FU MANCHU,69
MAN-THING/THEODORE T,TARR-BLACK JACK,31
TARR-BLACK JACK,FU MANCHU,12
TARR-BLACK JACK,SMITH-SIR DENIS NAY,79
WU-LEIKO,DOCTOR DREDD,13
WU-LEIKO,TARR-BLACK JACK,66
WU-LEIKO,STARSHINE II/BRANDY ,14
WU-LEIKO,SHANG-CHI,5
WU-LEIKO,ROM-SPACEKNIGHT,9
WU-LEIKO,RESTON-CLIVE,20
WU-LEIKO,SMITH-SIR DENIS NAY,17
WU-LEIKO,JACKSON-STEVE,60
JACKSON-STEVE,DOCTOR DREDD,48
JACKSON-STEVE,TARR-BLACK JACK,87
JACKSON-STEVE,STARSHINE II/BRANDY ,45
JACKSON-STEVE,SHANG-CHI,71
JACKSON-STEVE,ROM-SPACEKNIGHT,66
JACKSON-STEVE,RESTON-CLIVE,4
JACKSON-STEVE,SMITH-SIR DENIS NAY,75
SMITH-SIR DENIS NAY,DOCTOR DREDD,46
SMITH-SIR DENIS NAY,STARSHINE II/BRANDY ,91
SMITH-SIR DENIS NAY,SHANG-CHI,34
SMITH-SIR DENIS NAY,ROM-SPACEKNIGHT,99
SMITH-SIR DENIS NAY,RESTON-CLIVE,54
RESTON-CLIVE,DOCTOR DREDD,31
RESTON-CLIVE,TARR-BLACK JACK,37
RESTON-CLIVE,STARSHINE II/BRANDY ,14
RESTON-CLIVE,SHANG-CHI,38
RESTON-CLIVE,ROM-SPACEKNIGHT,57
ROM-SPACEKNIGHT,DOCTOR DREDD,85
ROM-SPACEKNIGHT,TARR-BLACK JACK,56
ROM-SPACEKNIGHT,STARSHINE II/BRANDY ,17
ROM-SPACEKNIGHT,SHANG-CHI,45
SHANG-CHI,DOCTOR DREDD,74
SHANG-CHI,STARSHINE II/BRANDY ,53
STARSHINE II/BRANDY ,DOCTOR DREDD,92
STARSHINE II/BRANDY ,TARR-BLACK JACK,67
TARR-BLACK JACK,DOCTOR DREDD,4
SMITH-SIR DENIS NAY,WU-LEIKO,22
TARR-BLACK JACK,SHANG-CHI,55
TARR-BLACK JACK,STARSHINE II/BRANDY ,19
TARR-BLACK JACK,RESTON-CLIVE,99
TARR-BLACK JACK,WU-LEIKO,10
TARR-BLACK JACK,ROM-SPACEKNIGHT,36
ROM-SPACEKNIGHT,RESTON-CLIVE,53
ROM-SPACEKNIGHT,WU-LEIKO,18
DOCTOR DREDD,SHANG-CHI,74
DOCTOR DREDD,STARSHINE II/BRANDY ,77
STARSHINE II/BRANDY ,SHANG-CHI,7
MYSTIQUE/RAVEN DARKH,BLOB/FRED J. DUKES,93
MYSTIQUE/RAVEN DARKH,TORPEDO III/BROCK JO,79
MYSTIQUE/RAVEN DARKH,PYRO/ALLERDYCE JOHNN,71
MYSTIQUE/RAVEN DARKH,AVALANCHE/DOMINIC PE,24
MYSTIQUE/RAVEN DARKH,ROGUE,94
MYSTIQUE/RAVEN DARKH,DESTINY II/IRENE ADL,46
MYSTIQUE/RAVEN DARKH,ROM-SPACEKNIGHT,100
MYSTIQUE/RAVEN DARKH,HYBRID/JAMES JIMMY M,23
HYBRID/JAMES JIMMY M,BLOB/FRED J. DUKES,88
