hero1,hero2,Friendship
LITTLE-ABNER,PRINCESS ZANDA,85
LITTLE-ABNER,BLACK PANTHER/T'CHAL,7
BLACK PANTHER/T'CHAL,PRINCESS ZANDA,37
LITTLE-ABNER,PRINCESS ZANDA,61
LITTLE-ABNER,BLACK PANTHER/T'CHAL,4
BLACK PANTHER/T'CHAL,PRINCESS ZANDA,16
STEELE-SIMON/WOLFGA,FORTUNE-DOMINIC,90
STEELE-SIMON/WOLFGA,ERWIN-CLYTEMNESTRA,2
STEELE-SIMON/WOLFGA,IRON MAN/TONY STARK ,79
STEELE-SIMON/WOLFGA,IRON MAN IV/JAMES R.,1
STEELE-SIMON/WOLFGA,RAVEN-SABBATH II/EL,26
RAVEN-SABBATH II/EL,FORTUNE-DOMINIC,88
RAVEN-SABBATH II/EL,ERWIN-CLYTEMNESTRA,90
RAVEN-SABBATH II/EL,IRON MAN/TONY STARK ,2
RAVEN-SABBATH II/EL,IRON MAN IV/JAMES R.,64
IRON MAN IV/JAMES R.,FORTUNE-DOMINIC,47
IRON MAN IV/JAMES R.,ERWIN-CLYTEMNESTRA,94
IRON MAN IV/JAMES R.,IRON MAN/TONY STARK ,17
IRON MAN/TONY STARK ,FORTUNE-DOMINIC,35
IRON MAN/TONY STARK ,ERWIN-CLYTEMNESTRA,14
ERWIN-CLYTEMNESTRA,FORTUNE-DOMINIC,67
PRINCESS ZANDA,BLACK PANTHER/T'CHAL,63
PRINCESS ZANDA,LITTLE-ABNER,59
LITTLE-ABNER,BLACK PANTHER/T'CHAL,33
BLACK PANTHER/T'CHAL,LITTLE-ABNER,10
BLACK PANTHER/T'CHAL,PRINCESS ZANDA,63
BLACK PANTHER/T'CHAL,CARNIVORE/COUNT ANDR,53
BLACK PANTHER/T'CHAL,LITTLE-ABNER,70
LITTLE-ABNER,PRINCESS ZANDA,65
LITTLE-ABNER,CARNIVORE/COUNT ANDR,43
CARNIVORE/COUNT ANDR,PRINCESS ZANDA,57
BLACK PANTHER/T'CHAL,PRINCESS ZANDA,11
BLACK PANTHER/T'CHAL,LITTLE-ABNER,99
BLACK PANTHER/T'CHAL,CARNIVORE/COUNT ANDR,81
CARNIVORE/COUNT ANDR,PRINCESS ZANDA,67
CARNIVORE/COUNT ANDR,LITTLE-ABNER,78
LITTLE-ABNER,PRINCESS ZANDA,72
PRINCESS ZANDA,CARNIVORE/COUNT ANDR,73
PRINCESS ZANDA,BLACK PANTHER/T'CHAL,11
PRINCESS ZANDA,LITTLE-ABNER,45
LITTLE-ABNER,CARNIVORE/COUNT ANDR,53
LITTLE-ABNER,BLACK PANTHER/T'CHAL,11
BLACK PANTHER/T'CHAL,CARNIVORE/COUNT ANDR,75
GHOST,IRON MAN/TONY STARK ,57
GHOST,ZIMMER-ABE,65
GHOST,IRON MAN IV/JAMES R.,93
IRON MAN IV/JAMES R.,IRON MAN/TONY STARK ,9
IRON MAN IV/JAMES R.,ZIMMER-ABE,29
ZIMMER-ABE,IRON MAN/TONY STARK ,67
FU MANCHU,TARR-BLACK JACK,60
FU MANCHU,SMITH-SIR DENIS NAY,24
FU MANCHU,SHANG-CHI,47
SHANG-CHI,TARR-BLACK JACK,34
SHANG-CHI,SMITH-SIR DENIS NAY,30
SMITH-SIR DENIS NAY,TARR-BLACK JACK,15
STARSHINE II/BRANDY ,ROM-SPACEKNIGHT,47
SHANG-CHI,FU MANCHU,75
SHANG-CHI,TARR-BLACK JACK,33
SHANG-CHI,MAN-THING/THEODORE T,72
SHANG-CHI,SMITH-SIR DENIS NAY,97
SMITH-SIR DENIS NAY,FU MANCHU,57
SMITH-SIR DENIS NAY,TARR-BLACK JACK,98
SMITH-SIR DENIS NAY,MAN-THING/THEODORE T,85
MAN-THING/THEODORE T,FU MANCHU,89
MAN-THING/THEODORE T,TARR-BLACK JACK,25
TARR-BLACK JACK,FU MANCHU,97
SHANG-CHI,SMITH-SIR DENIS NAY,92
SHANG-CHI,FU MANCHU,7
SHANG-CHI,TARR-BLACK JACK,94
TARR-BLACK JACK,SMITH-SIR DENIS NAY,4
TARR-BLACK JACK,FU MANCHU,80
FU MANCHU,SMITH-SIR DENIS NAY,76
WU-LEIKO,DOCTOR DREDD,70
WU-LEIKO,TARR-BLACK JACK,80
WU-LEIKO,STARSHINE II/BRANDY ,42
WU-LEIKO,SHANG-CHI,30
WU-LEIKO,ROM-SPACEKNIGHT,99
WU-LEIKO,RESTON-CLIVE,69
WU-LEIKO,SMITH-SIR DENIS NAY,46
WU-LEIKO,JACKSON-STEVE,35
JACKSON-STEVE,DOCTOR DREDD,79
JACKSON-STEVE,TARR-BLACK JACK,30
JACKSON-STEVE,STARSHINE II/BRANDY ,89
JACKSON-STEVE,SHANG-CHI,57
JACKSON-STEVE,ROM-SPACEKNIGHT,67
JACKSON-STEVE,RESTON-CLIVE,18
JACKSON-STEVE,SMITH-SIR DENIS NAY,28
SMITH-SIR DENIS NAY,DOCTOR DREDD,70
SMITH-SIR DENIS NAY,TARR-BLACK JACK,8
SMITH-SIR DENIS NAY,STARSHINE II/BRANDY ,89
SMITH-SIR DENIS NAY,SHANG-CHI,62
SMITH-SIR DENIS NAY,ROM-SPACEKNIGHT,57
SMITH-SIR DENIS NAY,RESTON-CLIVE,69
RESTON-CLIVE,DOCTOR DREDD,76
RESTON-CLIVE,TARR-BLACK JACK,12
RESTON-CLIVE,STARSHINE II/BRANDY ,82
RESTON-CLIVE,SHANG-CHI,96
RESTON-CLIVE,ROM-SPACEKNIGHT,48
ROM-SPACEKNIGHT,DOCTOR DREDD,57
ROM-SPACEKNIGHT,TARR-BLACK JACK,36
ROM-SPACEKNIGHT,STARSHINE II/BRANDY ,51
ROM-SPACEKNIGHT,SHANG-CHI,82
SHANG-CHI,DOCTOR DREDD,54
SHANG-CHI,TARR-BLACK JACK,49
SHANG-CHI,STARSHINE II/BRANDY ,58
STARSHINE II/BRANDY ,DOCTOR DREDD,92
STARSHINE II/BRANDY ,TARR-BLACK JACK,31
TARR-BLACK JACK,DOCTOR DREDD,37
SMITH-SIR DENIS NAY,SHANG-CHI,79
SMITH-SIR DENIS NAY,STARSHINE II/BRANDY ,25
SMITH-SIR DENIS NAY,DOCTOR DREDD,17
SMITH-SIR DENIS NAY,RESTON-CLIVE,78
SMITH-SIR DENIS NAY,WU-LEIKO,93
SMITH-SIR DENIS NAY,ROM-SPACEKNIGHT,53
SMITH-SIR DENIS NAY,TARR-BLACK JACK,63
TARR-BLACK JACK,SHANG-CHI,1
TARR-BLACK JACK,STARSHINE II/BRANDY ,68
TARR-BLACK JACK,DOCTOR DREDD,29
TARR-BLACK JACK,RESTON-CLIVE,6
TARR-BLACK JACK,WU-LEIKO,67
TARR-BLACK JACK,ROM-SPACEKNIGHT,46
ROM-SPACEKNIGHT,SHANG-CHI,33
ROM-SPACEKNIGHT,STARSHINE II/BRANDY ,49
ROM-SPACEKNIGHT,DOCTOR DREDD,57
ROM-SPACEKNIGHT,RESTON-CLIVE,36
ROM-SPACEKNIGHT,WU-LEIKO,74
WU-LEIKO,SHANG-CHI,23
WU-LEIKO,STARSHINE II/BRANDY ,60
WU-LEIKO,DOCTOR DREDD,73
WU-LEIKO,RESTON-CLIVE,58
RESTON-CLIVE,SHANG-CHI,75
RESTON-CLIVE,STARSHINE II/BRANDY ,8
RESTON-CLIVE,DOCTOR DREDD,56
DOCTOR DREDD,SHANG-CHI,14
DOCTOR DREDD,STARSHINE II/BRANDY ,35
STARSHINE II/BRANDY ,SHANG-CHI,76
MYSTIQUE/RAVEN DARKH,BLOB/FRED J. DUKES,98
MYSTIQUE/RAVEN DARKH,TORPEDO III/BROCK JO,72
MYSTIQUE/RAVEN DARKH,PYRO/ALLERDYCE JOHNN,88
MYSTIQUE/RAVEN DARKH,ROGUE /,100
MYSTIQUE/RAVEN DARKH,DESTINY II/IRENE ADL,27
MYSTIQUE/RAVEN DARKH,ROM-SPACEKNIGHT,36
MYSTIQUE/RAVEN DARKH,HYBRID/JAMES JIMMY M,42
HYBRID/JAMES JIMMY M,BLOB/FRED J. DUKES,79
HYBRID/JAMES JIMMY M,TORPEDO III/BROCK JO,95
HYBRID/JAMES JIMMY M,PYRO/ALLERDYCE JOHNN,40
HYBRID/JAMES JIMMY M,AVALANCHE/DOMINIC PE,50
HYBRID/JAMES JIMMY M,ROGUE /,100
HYBRID/JAMES JIMMY M,DESTINY II/IRENE ADL,22
HYBRID/JAMES JIMMY M,ROM-SPACEKNIGHT,77
ROM-SPACEKNIGHT,BLOB/FRED J. DUKES,60
ROM-SPACEKNIGHT,TORPEDO III/BROCK JO,7
ROM-SPACEKNIGHT,PYRO/ALLERDYCE JOHNN,98
ROM-SPACEKNIGHT,AVALANCHE/DOMINIC PE,97
ROM-SPACEKNIGHT,ROGUE /,15
ROM-SPACEKNIGHT,DESTINY II/IRENE ADL,80
DESTINY II/IRENE ADL,BLOB/FRED J. DUKES,68
DESTINY II/IRENE ADL,TORPEDO III/BROCK JO,57
DESTINY II/IRENE ADL,PYRO/ALLERDYCE JOHNN,100
DESTINY II/IRENE ADL,AVALANCHE/DOMINIC PE,1
DESTINY II/IRENE ADL,ROGUE /,59
ROGUE /,BLOB/FRED J. DUKES,27
ROGUE /,TORPEDO III/BROCK JO,95
ROGUE /,PYRO/ALLERDYCE JOHNN,14
ROGUE /,AVALANCHE/DOMINIC PE,40
AVALANCHE/DOMINIC PE,BLOB/FRED J. DUKES,13
AVALANCHE/DOMINIC PE,TORPEDO III/BROCK JO,82
AVALANCHE/DOMINIC PE,PYRO/ALLERDYCE JOHNN,90
PYRO/ALLERDYCE JOHNN,BLOB/FRED J. DUKES,22
PYRO/ALLERDYCE JOHNN,TORPEDO III/BROCK JO,2
TORPEDO III/BROCK JO,BLOB/FRED J. DUKES,50
CLARK-SARAH,TORPEDO III/BROCK JO,31
CLARK-SARAH,KILLBURN-MACK,79
CLARK-SARAH,STARSHINE II/BRANDY ,56
CLARK-SARAH,JONES-TAMMY ANNE,98
CLARK-SARAH,JACKSON-STEVE,83
CLARK-SARAH,JONES-LORRAINE LORR,55
CLARK-SARAH,JONES-NELL,90
CLARK-SARAH,ROM-SPACEKNIGHT,79
CLARK-SARAH,JONES-DANIEL DANNY,59
CLARK-SARAH,CLARK-JOHN,29
CLARK-SARAH,HYBRID/JAMES JIMMY M,44
HYBRID/JAMES JIMMY M,TORPEDO III/BROCK JO,96
HYBRID/JAMES JIMMY M,KILLBURN-MACK,70
HYBRID/JAMES JIMMY M,STARSHINE II/BRANDY ,90
HYBRID/JAMES JIMMY M,JONES-TAMMY ANNE,30
HYBRID/JAMES JIMMY M,JACKSON-STEVE,16
HYBRID/JAMES JIMMY M,JONES-LORRAINE LORR,91
HYBRID/JAMES JIMMY M,JONES-NELL,86
HYBRID/JAMES JIMMY M,ROM-SPACEKNIGHT,75
HYBRID/JAMES JIMMY M,JONES-DANIEL DANNY,4
HYBRID/JAMES JIMMY M,CLARK-JOHN,100
CLARK-JOHN,TORPEDO III/BROCK JO,92
CLARK-JOHN,KILLBURN-MACK,84
CLARK-JOHN,STARSHINE II/BRANDY ,3
CLARK-JOHN,JONES-TAMMY ANNE,13
CLARK-JOHN,JACKSON-STEVE,68
CLARK-JOHN,JONES-LORRAINE LORR,52
CLARK-JOHN,JONES-NELL,84
CLARK-JOHN,ROM-SPACEKNIGHT,43
CLARK-JOHN,JONES-DANIEL DANNY,72
JONES-DANIEL DANNY,TORPEDO III/BROCK JO,39
JONES-DANIEL DANNY,KILLBURN-MACK,15
JONES-DANIEL DANNY,STARSHINE II/BRANDY ,13
JONES-DANIEL DANNY,JONES-TAMMY ANNE,4
JONES-DANIEL DANNY,JACKSON-STEVE,48
JONES-DANIEL DANNY,JONES-LORRAINE LORR,44
JONES-DANIEL DANNY,JONES-NELL,26
JONES-DANIEL DANNY,ROM-SPACEKNIGHT,73
ROM-SPACEKNIGHT,TORPEDO III/BROCK JO,99
ROM-SPACEKNIGHT,KILLBURN-MACK,83
ROM-SPACEKNIGHT,STARSHINE II/BRANDY ,77
ROM-SPACEKNIGHT,JONES-TAMMY ANNE,97
ROM-SPACEKNIGHT,JACKSON-STEVE,80
ROM-SPACEKNIGHT,JONES-LORRAINE LORR,42
ROM-SPACEKNIGHT,JONES-NELL,79
JONES-NELL,TORPEDO III/BROCK JO,64
JONES-NELL,KILLBURN-MACK,71
JONES-NELL,STARSHINE II/BRANDY ,75
JONES-NELL,JONES-TAMMY ANNE,39
JONES-NELL,JACKSON-STEVE,2
JONES-NELL,JONES-LORRAINE LORR,60
JONES-LORRAINE LORR,TORPEDO III/BROCK JO,53
JONES-LORRAINE LORR,KILLBURN-MACK,72
JONES-LORRAINE LORR,STARSHINE II/BRANDY ,34
JONES-LORRAINE LORR,JONES-TAMMY ANNE,57
JONES-LORRAINE LORR,JACKSON-STEVE,2
JACKSON-STEVE,TORPEDO III/BROCK JO,36
JACKSON-STEVE,KILLBURN-MACK,27
JACKSON-STEVE,STARSHINE II/BRANDY ,89
JACKSON-STEVE,JONES-TAMMY ANNE,1
JONES-TAMMY ANNE,TORPEDO III/BROCK JO,96
JONES-TAMMY ANNE,KILLBURN-MACK,72
JONES-TAMMY ANNE,STARSHINE II/BRANDY ,98
STARSHINE II/BRANDY ,TORPEDO III/BROCK JO,74
STARSHINE II/BRANDY ,KILLBURN-MACK,75
KILLBURN-MACK,TORPEDO III/BROCK JO,60
STARSHINE II/BRANDY ,TORPEDO III/BROCK JO,12
STARSHINE II/BRANDY ,KILLBURN-MACK,63
STARSHINE II/BRANDY ,ROM-SPACEKNIGHT,24
STARSHINE II/BRANDY ,JONES-LORRAINE LORR,75
STARSHINE II/BRANDY ,JONES-DANIEL DANNY,23
STARSHINE II/BRANDY ,JONES-TAMMY ANNE,19
STARSHINE II/BRANDY ,JONES-NELL,47
STARSHINE II/BRANDY ,JACKSON-STEVE,56
JACKSON-STEVE,TORPEDO III/BROCK JO,42
JACKSON-STEVE,KILLBURN-MACK,1
JACKSON-STEVE,ROM-SPACEKNIGHT,74
JACKSON-STEVE,JONES-LORRAINE LORR,14
JACKSON-STEVE,JONES-DANIEL DANNY,12
JACKSON-STEVE,JONES-TAMMY ANNE,41
JACKSON-STEVE,JONES-NELL,2
JONES-NELL,TORPEDO III/BROCK JO,62
JONES-NELL,KILLBURN-MACK,36
JONES-NELL,ROM-SPACEKNIGHT,82
JONES-NELL,JONES-LORRAINE LORR,37
JONES-NELL,JONES-DANIEL DANNY,49
JONES-NELL,JONES-TAMMY ANNE,74
JONES-TAMMY ANNE,TORPEDO III/BROCK JO,78
JONES-TAMMY ANNE,KILLBURN-MACK,97
JONES-TAMMY ANNE,ROM-SPACEKNIGHT,47
