hero1,hero2,Friendship
ZAMINAMINA,HEHE,21
PRINCESS ZANDA,BLACK PANTHER/T'CHAL,16
LITTLE-ABNER,PRINCESS ZANDA,85
LITTLE-ABNER,BLACK PANTHER/T'CHAL,7
BLACK PANTHER/T'CHAL,PRINCESS ZANDA,37
LITTLE-ABNER,PRINCESS ZANDA,61
LITTLE-ABNER,BLACK PANTHER/T'CHAL,4
BLACK PANTHER/T'CHAL,PRINCESS ZANDA,16
STEELE-SIMON/WOLFGA,FORTUNE-DOMINIC,90
STEELE-SIMON/WOLFGA,ERWIN-CLYTEMNESTRA,2
STEELE-SIMON/WOLFGA,IRON MAN/TONY STARK ,79
STEELE-SIMON/WOLFGA,IRON MAN IV/JAMES R.,1
STEELE-SIMON/WOLFGA,RAVEN-SABBATH II/EL,26
RAVEN-SABBATH II/EL,FORTUNE-DOMINIC,88
RAVEN-SABBATH II/EL,ERWIN-CLYTEMNESTRA,90
RAVEN-SABBATH II/EL,IRON MAN/TONY STARK ,2
RAVEN-SABBATH II/EL,IRON MAN IV/JAMES R.,64
IRON MAN IV/JAMES R.,FORTUNE-DOMINIC,47
IRON MAN IV/JAMES R.,ERWIN-CLYTEMNESTRA,94
IRON MAN IV/JAMES R.,IRON MAN/TONY STARK ,17
IRON MAN/TONY STARK ,FORTUNE-DOMINIC,35
IRON MAN/TONY STARK ,ERWIN-CLYTEMNESTRA,14
ERWIN-CLYTEMNESTRA,FORTUNE-DOMINIC,67
PRINCESS ZANDA,BLACK PANTHER/T'CHAL,63
PRINCESS ZANDA,LITTLE-ABNER,59
LITTLE-ABNER,BLACK PANTHER/T'CHAL,33
BLACK PANTHER/T'CHAL,LITTLE-ABNER,10
BLACK PANTHER/T'CHAL,PRINCESS ZANDA,63
BLACK PANTHER/T'CHAL,CARNIVORE/COUNT ANDR,53
BLACK PANTHER/T'CHAL,LITTLE-ABNER,70
LITTLE-ABNER,PRINCESS ZANDA,65
LITTLE-ABNER,CARNIVORE/COUNT ANDR,43
CARNIVORE/COUNT ANDR,PRINCESS ZANDA,57
BLACK PANTHER/T'CHAL,PRINCESS ZANDA,11
BLACK PANTHER/T'CHAL,LITTLE-ABNER,99
BLACK PANTHER/T'CHAL,CARNIVORE/COUNT ANDR,81
CARNIVORE/COUNT ANDR,PRINCESS ZANDA,67
